1. 어린이 보호구역내 안전 시설물 우선 설치지역 20개소,,,,,,,2. 어린이 비보호구역내 위험 지역 20개소,,,,
위험순위,시설명.주소지,지역 / 동,경도,위도,안전시설물,,위험순위,주소지,위도,경도,반경범위
1,운천초등학교 부근,오산동,37.15594578,127.0782772,과속단속카메라,,1,경기 오산시 오산동 939,37.14882112,127.078278,50m
2,세교복지타운어린이집 부근,금암동,37.17646314,127.0455006,활주로형횡단보도,,2,경기 오산시 원동 299-33,37.14159384,127.0738142,50m
,,,37.17643025,127.0454597,주정차단속카메라,,3,경기 오산시 가수동 289-12,37.14966121,127.0613818,50m
3,세교복지타운어린이집 부근,금암동,37.17656619,127.0441275,횡단보도투광기,,4,경기 오산시 원동 811-11,37.14791169,127.0760309,50m
,,,37.17645071,127.0441843,횡단보도투광기,,5,경기 오산시 오산동 925-12,37.14971448,127.0760208,50m
,,,37.17648694,127.0443435,횡단보도투광기,,6,경기 오산시 세교동 594,37.1892586,127.0442526,50m
,,,37.17659788,127.0442923,횡단보도투광기,,7,경기 오산시 수청동 613-2,37.16949184,127.0612673,50m
4,운암초등학교 부근,원동,37.14621382,127.0761862,횡단보도투광기,,8,경기 오산시 오산동 940,37.14881309,127.0760259,50m
,,,37.14622873,127.0760053,주정차단속카메라,,9,경기 오산시 벌음동 189-16,37.14056618,127.040041,50m
5,시립오산어린이집 부근,오산동,37.14886345,127.0736677,과속단속카메라,,10,경기 오산시 세교동 628,37.18834852,127.0420047,50m
6,오르다유치원 부근,원동,37.14625457,127.0780109,횡단보도투광기,,11,경기 오산시 원동 535-1,37.13620157,127.0783481,50m
7,시립은여울어린이집 부근,내삼미동,37.17129449,127.0658447,과속단속카메라,,12,경기 오산시 오산동 940,37.14880905,127.0748998,50m
8,청원어린이집 부근,오산동,37.15583199,127.0728193,신호위반단속카메라,,13,경기 오산시 세교동 594,37.18926724,127.0465059,50m
,,,37.15586029,127.0726607,신호위반단속카메라,,14,경기 오산시 금암동 547,37.17123518,127.0454873,50m
9,운암초등학교 부근,원동,37.14636616,127.0745647,불법주정차단속카메라,,15,경기 오산시 궐동 689-4,37.15684715,127.0545831,50m
10,해에게서소년에게어린이집 부근,은계동,37.15954873,127.0700863,활주로형횡단보도,,16,경기 오산시 오산동 881-17,37.14517905,127.0681639,50m
11,시립오산어린이집 부근,원동,37.14647115,127.0736459,불법주정차단속카메라,,17,경기 오산시 부산동 781-1,37.15875241,127.0827278,50m
12,시립세마어린이집 부근,세교동,37.18566327,127.0428783,불법주정차단속카메라,,18,경기 오산시 고현동 6-10,37.13349737,127.0783631,50m
13,키즈청호어린이집 부근,원동,37.13609872,127.0828926,불법주정차단속카메라,,19,경기 오산시 갈곶동 175,37.1298512,127.0671252,50m
,,,37.13609772,127.0828926,좌회전신호등설치,,20,경기 오산시 부산동 77-2,37.15878767,127.0928637,50m
14,시립예일어린이집 부근,갈곶동,37.13516777,127.0682294,불법주정차단속카메라,,,,,,
,,,37.13517777,127.0682294,횡단보도,,,,,,
,,,37.13518777,127.0682294,과속방지턱,,,,,,
15,아이사랑어린이집 부근,원동,37.13594867,127.0729534,불법주정차단속카메라,,,,,,
16,시립은여울어린이집 부근,수청동,37.16963655,127.0663637,무단횡단금지휀스,,,,,,
17,세교복지타운어린이집 부근,금암동,37.17754505,127.0464986,과속방지턱,,,,,,
18,그린어린이집 부근,오산동,37.14897696,127.067978,노면표지(어린이보호구역),,,,,,
19,시립남부어린이집 부근,원동,37.138001,127.07507,과속방지턱,,,,,,
20,시립가온어린이집 부근,오산동,37.15886627,127.0787607,노면표지(어린이보호구역),,,,,,
